"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"17270053","17270053","217212","Pyy","peptide YY",0.176586780436884,2.96383166251321,1.62567434888313,0.120053956896149,0.57394629268871,-4.66650278699374
"17459550","17459550","20019","Polr1a","polymerase (RNA) I polypeptide A",-0.100121708466625,8.20479383080847,-1.62564071474193,0.120061157721587,0.57394629268871,-4.66654887195914
"17425419","17425419",NA,NA,NA,-0.110193573878218,2.39096573733954,-1.62555498342557,0.120079513822874,0.57394629268871,-4.66666633645341
"17235360","17235360","246086","Onecut3","one cut domain, family member 3",0.103463969995247,3.1534813604265,1.6254659633819,0.120098576586816,0.573948684399437,-4.66678830213453
"17375418","17375418","99439","Duox1","dual oxidase 1",0.0847246762284186,2.70895982307892,1.62523938049196,0.120147108601659,0.574091886565184,-4.66709871931127
"17459731","17459731",NA,NA,NA,-0.139666719660096,2.57495073669969,-1.6249151171538,0.120216591682108,0.574187928602502,-4.66754290237799
"17305221","17305221","70564","Fam213a","family with sequence similarity 213, member A",0.329352170525041,5.13326856626022,1.62474348228126,0.120253383290354,0.574187928602502,-4.66777798505055
"17284135","17284135","74335","Xrcc3","X-ray repair complementing defective repair in Chinese hamster cells 3",0.197444212962285,4.64321643016223,1.62466683646366,0.120269816137522,0.574187928602502,-4.66788295838211
"17325919","17325919","67841","Atg3","autophagy related 3",0.134324821767521,8.90127552120823,1.62463248931778,0.120277180773243,0.574187928602502,-4.66792999869371
"17510368","17510368","382018","Unc13a","unc-13 homolog A (C. elegans)",0.243786708137438,3.85281179700631,1.62451066334588,0.120303305485742,0.574187928602502,-4.66809684014684
"17519868","17519868","319405","D430036J16Rik","RIKEN cDNA D430036J16 gene",0.339467011030979,3.66158457528128,1.62447475949951,0.120311005723541,0.574187928602502,-4.66814600892818
"17496705","17496705","71131","Zfp689","zinc finger protein 689",0.146964451921945,4.22757268786539,1.62445781637129,0.120314639632319,0.574187928602502,-4.66816921153784
"17361285","17361285","171180","Syt12","synaptotagmin XII",0.169431545343556,3.16149142261573,1.62443948293109,0.120318571835168,0.574187928602502,-4.66819431789549
"17274050","17274050","71457","7420701I03Rik","RIKEN cDNA 7420701I03 gene",0.113932504534858,2.79308296585451,1.62428827674255,0.120351007058629,0.574187928602502,-4.6684013761403
"17264519","17264519",NA,NA,NA,-0.0893057094652501,2.83376304926783,-1.62418520415033,0.120373121378276,0.574187928602502,-4.66854251317447
"17458393","17458393","66058","Tmem176a","transmembrane protein 176A",0.2605459024514,4.8247749537021,1.62416806652884,0.120376798603189,0.574187928602502,-4.6685659790322
"17497091","17497091","18242","Oat","ornithine aminotransferase",0.253017103724654,7.41905797939623,1.62408963132064,0.12039362968056,0.574187928602502,-4.66867337487667
"17236620","17236620",NA,NA,NA,0.119541504687376,2.87023844034202,1.62401978229732,0.120408619956618,0.574187928602502,-4.66876901102532
"17397604","17397604","56790","Supt20","suppressor of Ty 20",-0.151926010732955,8.59232574797985,-1.62370703496893,0.120475757872197,0.574419496285018,-4.66919718223182
"17486707","17486707","76971","Sult2a8","sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 8",-0.0973334159507266,3.00233106725403,-1.62332547789991,0.120557710044574,0.574721614951933,-4.66971947567784
"17405119","17405119","67749","Mgarp","mitochondria localized glutamic acid rich protein",0.112042235053284,2.68397283984602,1.62284157648715,0.120661711739195,0.574954325180661,-4.67038173212653
"17537768","17537768",NA,NA,NA,0.117067929038636,2.62153294801317,1.62281495902162,0.120667434648561,0.574954325180661,-4.67041815593873
"17534892","17534892","78619","Zfp449","zinc finger protein 449",-0.0991225756767298,2.74605318050744,-1.62271224647122,0.120689520588922,0.574954325180661,-4.67055870546556
"17421908","17421908","13806","Eno1","enolase 1, alpha non-neuron",0.18970174132031,3.78919906045434,1.62267217260226,0.120698138465306,0.574954325180661,-4.67061353985227
"17375006","17375006","76051","Ganc","glucosidase, alpha; neutral C",0.126754102998689,3.11417254772156,1.62258099095347,0.12071774899243,0.574954325180661,-4.67073830294797
"17345722","17345722","100126242","Frs3os","fibroblast growth factor receptor substrate 3, opposite strand",-0.106534123803137,2.65359759525098,-1.62256799640132,0.120720543962382,0.574954325180661,-4.67075608286323
"17463632","17463632","353166","Tas2r117","taste receptor, type 2, member 117",-0.133344227188078,3.19960679385541,-1.62249293740084,0.120736689307828,0.574954325180661,-4.67085878096458
"17274513","17274513","195733","Grhl1","grainyhead like transcription factor 1",-0.165183525227372,3.61089248428227,-1.62235214060068,0.120766979902243,0.575010012099991,-4.671051414109
"17536346","17536346",NA,NA,NA,-0.150682275625112,2.9290832802909,-1.62226054928754,0.12078668801932,0.575015303088127,-4.67117671941565
"17486529","17486529","619331","Zfp551","zinc fingr protein 551",0.153005498472385,2.99936876798584,1.62179365015759,0.120887194984333,0.575366147317474,-4.67181539870501
"17507786","17507786","100526464","Mir3106","microRNA 3106",0.166119421337608,2.49556586221406,1.62174532290048,0.120897602170816,0.575366147317474,-4.67188149860259
"17456485","17456485","11844","Arf5","ADP-ribosylation factor 5",0.238286972234676,7.02668471414378,1.62156021164149,0.120937472533111,0.575449517878192,-4.67213467213668
"17286830","17286830","13614","Edn1","endothelin 1",0.117100602317165,2.67417929662357,1.62144532595787,0.120962222870543,0.575449517878192,-4.67229178856645
"17267745","17267745","71943","Tom1l1","target of myb1-like 1 (chicken)",-0.133159868359594,2.82043323651334,-1.62139610291484,0.120972828518382,0.575449517878192,-4.6723591029472
"17424077","17424077","14595","B4galt1","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",-0.194399553848139,7.94967056389012,-1.62127751620042,0.120998382555301,0.575449517878192,-4.6725212685613
"17405838","17405838","625901","Gm6634","predicted gene 6634",0.201476172609144,3.63551175446036,1.62120283465716,0.121014477882285,0.575449517878192,-4.67262338997709
"17238695","17238695","258252","Olfr813","olfactory receptor 813",-0.188983393569736,3.36223973108523,-1.6211457324888,0.121026785729686,0.575449517878192,-4.67270147056172
"17441275","17441275","12704","Cit","citron",0.172828265018605,3.75656494300582,1.62093605089286,0.121071989725705,0.575509150724728,-4.67298816830449
"17297105","17297105","74859","4930455B14Rik","RIKEN cDNA 4930455B14 gene",-0.108493531138954,2.68105682009795,-1.62083026951959,0.12109479989951,0.575509150724728,-4.67313279278968
"17538194","17538194","78789","Vsig1","V-set and immunoglobulin domain containing 1",0.113710154180914,2.79740661872678,1.62078385025474,0.121104810664935,0.575509150724728,-4.6731962550832
"17251441","17251441","71998","Slc25a35","solute carrier family 25, member 35",0.204759090293101,3.89594738040711,1.62055120774167,0.121154992796885,0.575509150724728,-4.67351429297065
"17354128","17354128","100042807","Eif3j2","eukaryotic translation initiation factor 3, subunit J2",0.242292768950213,9.05776381094387,1.62051697266949,0.121162378949795,0.575509150724728,-4.6735610917482
"17305826","17305826",NA,NA,NA,0.297689014249594,6.02424343382418,1.62039856327794,0.121187928482788,0.575509150724728,-4.67372294977479
"17244539","17244539",NA,NA,NA,-0.099785798733846,2.89354782762583,-1.62036061003507,0.121196118723889,0.575509150724728,-4.67377482756173
"17490324","17490324","102632404","Gm15396","predicted gene 15396",0.132901857159542,2.34475792010689,1.6202117145367,0.12122825461026,0.575509150724728,-4.67397834215098
"17370855","17370855","271786","Galnt13","polypeptide N-acetylgalactosaminyltransferase 13",0.104321557023734,2.76604173356142,1.62019753603983,0.121231315108055,0.575509150724728,-4.67399772099924
"17227636","17227636","50702","Cfhr1","complement factor H-related 1",0.108570055718154,2.90261344236464,1.62014494342766,0.121242668049263,0.575509150724728,-4.67406960229124
